product_name,brand,product_url,category_hierarchy,description,sku,size_or_color,price,availability,specifications,image_urls,alternative_products,variants,updated_at
Crave,Safco Dental Supply,https://www.safcodental.com/product/crave-trade,Dental Supplies,Safco Dental Supply sells Dental Crave and other brand name dental supplies and products at discount prices. We offer free shipping and the highest quality service.,CR3555,,24.49,in stock,null,"[""https://www.safcodental.com/media/catalog/product/d/r/drcca_2.jpg?optimize=medium&fit=bounds&height=265&width=265&canvas=265:265""]",[],"[{""sku"": ""CR3555"", ""size_or_color"": null, ""price"": 24.49, ""availability"": ""in stock""}, {""sku"": ""CR3556"", ""size_or_color"": null, ""price"": 24.49, ""availability"": ""in stock""}, {""sku"": ""CR3557"", ""size_or_color"": null, ""price"": 24.49, ""availability"": ""in stock""}, {""sku"": ""CR3558"", ""size_or_color"": null, ""price"": 24.49, ""availability"": ""in stock""}]",2026-06-02 19:11:47
Compac Nitrile Exam Gloves,By The Cuff,https://www.safcodental.com/product/compac-nitrile,Dental Supplies > Dental Disposables > Dental Exam Gloves,"Compac nitrile exam gloves feature By-the-Cuff dispensing, compact storage, and reduced cross-contamination for efficient operatory workflows.",,,8.49,in stock,"{""price"": ""8.49"", ""currency"": ""USD""}","[""https://www.safcodental.com/media/catalog/product/c/r/cranberry-compac-nitrile-front-facing-100-box_1.jpg?optimize=medium&fit=bounds&height=265&width=265&canvas=265:265""]",[],"[{""sku"": ""0"", ""size_or_color"": null, ""price"": 8.49, ""availability"": ""in stock""}, {""sku"": ""1"", ""size_or_color"": null, ""price"": 8.49, ""availability"": ""in stock""}, {""sku"": ""2"", ""size_or_color"": null, ""price"": 8.49, ""availability"": ""in stock""}, {""sku"": ""3"", ""size_or_color"": null, ""price"": 8.49, ""availability"": ""in stock""}]",2026-06-02 19:11:27
Clearance item,,https://www.safcodental.com/product/clearance-item,,Safco Dental Supply sells Dental Clearance item and other brand name dental supplies and products at discount prices. We offer free shipping and the highest quality service.,1431,,87.0,In stock,null,"[""https://www.safcodental.com/media/catalog/product/c/l/clearance-items.jpg?optimize=medium&fit=bounds&height=265&width=265&canvas=265:265""]",[],"[{""sku"": ""1431"", ""size_or_color"": null, ""price"": 87.0, ""availability"": ""In stock""}, {""sku"": ""1432"", ""size_or_color"": null, ""price"": 87.0, ""availability"": ""In stock""}, {""sku"": ""LED-P"", ""size_or_color"": null, ""price"": 87.0, ""availability"": ""In stock""}, {""sku"": ""SF-HB21K"", ""size_or_color"": null, ""price"": 87.0, ""availability"": ""In stock""}, {""sku"": ""691258BU"", ""size_or_color"": null, ""price"": 87.0, ""availability"": ""In stock""}, {""sku"": ""US100R115T"", ""size_or_color"": null, ""price"": 87.0, ""availability"": ""In stock""}, {""sku"": ""UC300B115"", ""size_or_color"": null, ""price"": 87.0, ""availability"": ""In stock""}, {""sku"": ""90734"", ""size_or_color"": null, ""price"": 87.0, ""availability"": ""In stock""}, {""sku"": ""24-5902800"", ""size_or_color"": null, ""price"": 87.0, ""availability"": ""In stock""}, {""sku"": ""24-5361257"", ""size_or_color"": null, ""price"": 87.0, ""availability"": ""In stock""}, {""sku"": ""D660-B"", ""size_or_color"": null, ""price"": 87.0, ""availability"": ""In stock""}, {""sku"": ""90741L01"", ""size_or_color"": null, ""price"": 87.0, ""availability"": ""In stock""}, {""sku"": ""2340M"", ""size_or_color"": null, ""price"": 87.0, ""availability"": ""In stock""}, {""sku"": ""CR1079"", ""size_or_color"": null, ""price"": 87.0, ""availability"": ""In stock""}, {""sku"": ""U-5LH"", ""size_or_color"": null, ""price"": 87.0, ""availability"": ""In stock""}, {""sku"": ""42-553"", ""size_or_color"": null, ""price"": 87.0, ""availability"": ""In stock""}, {""sku"": ""7500080-S7S"", ""size_or_color"": null, ""price"": 87.0, ""availability"": ""In stock""}, {""sku"": ""7800080"", ""size_or_color"": null, ""price"": 87.0, ""availability"": ""In stock""}, {""sku"": ""Y1001036"", ""size_or_color"": null, ""price"": 87.0, ""availability"": ""In stock""}, {""sku"": ""31"", ""size_or_color"": null, ""price"": 87.0, ""availability"": ""In stock""}, {""sku"": ""F60211"", ""size_or_color"": null, ""price"": 87.0, ""availability"": ""In stock""}, {""sku"": ""NXT-HG5-001"", ""size_or_color"": null, ""price"": 87.0, ""availability"": ""In stock""}]",2026-06-02 19:11:12
BeeSure SuperSlim Nitrile,BeeSure,https://www.safcodental.com/product/beesure-reg-superslim-trade-nitrile,Dental Supplies > Gloves,Safco Dental Supply sells Dental BeeSure SuperSlim Nitrile and other brand name dental supplies and products at discount prices. We offer free shipping and the highest quality service.,BE1145,Small,24.99,In stock,"{""product:price:amount"": ""24.99"", ""product:price:currency"": ""USD""}","[""https://www.safcodental.com/media/catalog/product/d/r/drcbo.jpg?optimize=medium&fit=bounds&height=265&width=265&canvas=265:265""]",[],"[{""sku"": ""BE1145"", ""size_or_color"": ""Small"", ""price"": 24.99, ""availability"": ""In stock""}, {""sku"": ""BE1146"", ""size_or_color"": ""Medium"", ""price"": 24.99, ""availability"": ""In stock""}, {""sku"": ""BE1147"", ""size_or_color"": ""Large"", ""price"": 24.99, ""availability"": ""In stock""}, {""sku"": ""BE1148"", ""size_or_color"": ""X-Large"", ""price"": 24.99, ""availability"": ""In stock""}]",2026-06-02 19:10:53
Aurelia Vibrant,Aurelia,https://www.safcodental.com/product/aurelia-reg-vibrant-trade,Dental Supplies > Gloves,Safco Dental Supply sells Dental Aurelia Vibrant and other brand name dental supplies and products at discount prices. We offer free shipping and the highest quality service.,98225,Small,7.99,in stock,null,"[""https://www.safcodental.com/media/catalog/product/d/r/drbas.jpg?optimize=medium&fit=bounds&height=265&width=265""]",[],"[{""sku"": ""98225"", ""size_or_color"": ""Small"", ""price"": 7.99, ""availability"": ""in stock""}, {""sku"": ""98226"", ""size_or_color"": ""Medium"", ""price"": 7.99, ""availability"": ""in stock""}, {""sku"": ""98227"", ""size_or_color"": ""Large"", ""price"": 7.99, ""availability"": ""in stock""}, {""sku"": ""98228"", ""size_or_color"": ""X-Large"", ""price"": 7.99, ""availability"": ""in stock""}]",2026-06-02 19:10:31
Aurelia® Amazing® Powder Free Nitrile Dental Exam Gloves,Aurelia,https://www.safcodental.com/product/aurelia-reg-amazing-reg,Dental Supplies > Dental Exam Gloves,Safco Dental Supply sells Dental Aurelia Amazing and other brand name dental supplies and products at discount prices. We offer free shipping and the highest quality service.,92885,M,20.99,In stock,"{""price"": 20.99, ""currency"": ""USD""}","[""https://www.safcodental.com/media/catalog/product/d/r/drcbm.jpg?optimize=medium&fit=bounds&height=265&width=265&canvas=265:265""]",[],"[{""sku"": ""92885"", ""size_or_color"": ""M"", ""price"": 20.99, ""availability"": ""In stock""}, {""sku"": ""92886"", ""size_or_color"": ""L"", ""price"": 20.99, ""availability"": ""In stock""}, {""sku"": ""92887"", ""size_or_color"": ""XL"", ""price"": 20.99, ""availability"": ""In stock""}, {""sku"": ""92888"", ""size_or_color"": ""XXL"", ""price"": 20.99, ""availability"": ""In stock""}]",2026-06-02 19:10:07
Aquasoft* Powder Free Nitrile Dental Exam Gloves,Safco Dental Supply,https://www.safcodental.com/product/aquasoft,Dental Supplies > Dental Exam Gloves,Safco Dental Supply sells Dental Aquasoft and other brand name dental supplies and products at discount prices. We offer free shipping and the highest quality service.,PPE25,Standard,31.49,In stock,"{""price"": ""31.49 USD""}","[""https://www.safcodental.com/media/catalog/product/d/r/drcbt.jpg?optimize=medium&fit=bounds&height=265&width=265&canvas=265:265""]",[],"[{""sku"": ""PPE25"", ""size_or_color"": ""Standard"", ""price"": 31.49, ""availability"": ""In stock""}, {""sku"": ""43932"", ""size_or_color"": ""Small"", ""price"": 31.49, ""availability"": ""In stock""}, {""sku"": ""43933"", ""size_or_color"": ""Medium"", ""price"": 31.49, ""availability"": ""In stock""}, {""sku"": ""43934"", ""size_or_color"": ""Large"", ""price"": 31.49, ""availability"": ""In stock""}]",2026-06-02 19:09:45
Aqua Source,Safco Dental Supply,https://www.safcodental.com/product/aqua-source-reg,Dental Supplies,Safco Dental Supply sells Dental Aqua Source and other brand name dental supplies and products at discount prices. We offer free shipping and the highest quality service.,,,24.99,In stock,null,"[""https://www.safcodental.com/media/catalog/product/d/r/drcbl_2.jpg?optimize=medium&fit=bounds&height=265&width=265&canvas=265:265""]",[],"[{""sku"": ""1"", ""size_or_color"": null, ""price"": 24.99, ""availability"": ""In stock""}, {""sku"": ""2"", ""size_or_color"": null, ""price"": 24.99, ""availability"": ""In stock""}, {""sku"": ""3"", ""size_or_color"": null, ""price"": 24.99, ""availability"": ""In stock""}, {""sku"": ""4"", ""size_or_color"": null, ""price"": 24.99, ""availability"": ""In stock""}]",2026-06-02 19:09:24
Alasta,,https://www.safcodental.com/product/alasta-sup-reg-sup,,Safco Dental Supply sells Dental Alasta and other brand name dental supplies and products at discount prices. We offer free shipping and the highest quality service.,PPE25,,13.49,in stock,null,"[""https://www.safcodental.com/media/catalog/product/d/r/drcan.jpg?optimize=medium&fit=bounds&height=265&width=265&canvas=265:265""]",[],"[{""sku"": ""PPE25"", ""size_or_color"": null, ""price"": 13.49, ""availability"": ""in stock""}]",2026-06-02 19:09:00
Alasta Pro,Safco Dental,https://www.safcodental.com/product/alasta-pro,Dental Supplies > Dental Exam Gloves,"Make glove changes faster and easier with Alasta® PRO nitrile dental exam gloves, featuring innovative Glide Assist™ technology that helps you slide into gloves effortlessly — even with damp hands. Designed for dental professionals, the Soft Fit™ formulation provides a comfortable, form-fitting feel that enhances dexterity during procedures. The professional medical blue color offers a clean, clinical look that complements any operatory setting. Alasta® PRO gloves are fentanyl-tested and chemo-approved, ensuring trusted protection for use in high-risk or clinical dental environments. Each box contains 200 premium nitrile gloves, offering exceptional value and efficiency for busy dental practices.",,Large,28.49,In stock,"{""price"": ""28.49"", ""currency"": ""USD"", ""quantity_per_box"": 200}","[""https://www.safcodental.com/media/catalog/product/d/r/drcdk.jpg?optimize=medium&fit=bounds&height=265&width=265&canvas=265:265""]",[],"[{""sku"": ""0"", ""size_or_color"": ""Large"", ""price"": 28.49, ""availability"": ""In stock""}, {""sku"": ""1"", ""size_or_color"": ""Medium"", ""price"": 28.49, ""availability"": ""In stock""}, {""sku"": ""2"", ""size_or_color"": ""Small"", ""price"": 28.49, ""availability"": ""In stock""}, {""sku"": ""3"", ""size_or_color"": ""X-Large"", ""price"": 28.49, ""availability"": ""In stock""}]",2026-06-02 19:08:40
